
2022-01-02 12:38:38 172.16.68.3:56550 -> 45.33.32.156:80 sqlmap
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "gcc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "g++-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tclsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ping-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "netcat-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "traceroute-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nmap-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "wget-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "uname-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "bin/id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "echo-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "kill-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chmod-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chgrp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chown-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tftp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "gcc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "g++-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tclsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ping-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "netcat-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "traceroute-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nmap-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "wget-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "uname-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "bin/id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "echo-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "kill-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chmod-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chgrp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chown-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tftp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "gcc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "g++-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tclsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ping-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "netcat-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "traceroute-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nmap-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "wget-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "uname-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "bin/id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "echo-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "kill-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chmod-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chgrp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chown-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tftp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "gcc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "g++-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tclsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ping-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "netcat-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "traceroute-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nmap-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "wget-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "uname-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "bin/id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "echo-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "kill-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chmod-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chgrp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chown-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tftp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "gcc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "g++-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tclsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ping-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "netcat-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "traceroute-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nmap-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "wget-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "uname-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "bin/id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "echo-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "kill-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chmod-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chgrp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chown-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tftp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "gcc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "g++-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tclsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ping-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "netcat-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "traceroute-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nmap-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "wget-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "uname-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "bin/id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "echo-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "kill-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chmod-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chgrp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chown-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tftp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "gcc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "g++-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tclsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ping-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "netcat-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "traceroute-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nmap-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "wget-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "uname-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "bin/id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "echo-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "kill-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chmod-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chgrp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chown-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tftp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "gcc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "g++-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tclsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ping-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "netcat-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "traceroute-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nmap-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "wget-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "uname-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "bin/id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "echo-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "kill-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chmod-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chgrp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chown-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tftp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "gcc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "g++-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tclsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ping-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nc-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "netcat-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "traceroute-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "nmap-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ps-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "wget-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "uname-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "bin/id-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "echo-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "kill-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chmod-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chgrp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chown-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "chsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tftp-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "gcc-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "g++-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "tclsh-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "ping-cmd-attempt";
2022-01-04 11:43:59 35.232.111.17:80 -> 172.16.68.3:60400 "nc-cmd-attempt";
